Handle,Description,Downloaded
AndhraPradeshCM,Andhra Pradesh Chief Minister ,1
governorap,Andhra Pradesh Governor ,1
ArunachalCMO,Arunachal Pradesh Chief Minister ,1
CMOfficeAssam,Assam Chief Minister ,1
PIB_Guwahati,Assam Press Information Bureau ,1
officecmbihar,Bihar Chief Minister ,1
BiharHealthDept,Bihar Health Department ,1
IPRD_Bihar,Bihar IPRD ,1
dot_india,Central Deartment Telecommmunications ,1
dept_of_ahd,Central Department Animal Husbandry,1
doc_goi,Central Department Commerce,1
jagograhakjago,Central Department Consumer Affairs,1
fertmin_india,Central Department Fertilisers,1
IndiaDST,Central Department Science and Technology,1
IndiaSports,Central Department Sports,1
cimgoi,Central Minister Commerce And Industry,1
defenceminindia,Central Minister Defence ,1
hmoindia,Central Minister Home ,1
texminindia,Central Minister Textile,1
finminindia,Central Ministery Finance ,1
Minority_GoI,Central Ministry  Minority Affairs,1
moayush,Central Ministry Ayush,1
moca_goi,Central Ministry Civil Aviation,1
coalministry,Central Ministry Coal,1
pib_comm,Central Ministry Communications,1
minofculturegoi,Central Ministry Culture,1
mdoner_india,Central Ministry Development of North Eastern Region,1
moesgoi,Central Ministry Earth Sciences,1
eduminofindia,Central Ministry Education ,1
GoI_MeitY,Central Ministry Electronics and Information Technology,1
moefcc,"Central Ministry Environment, Forests and Climate Change",1
MOFPI_GOI,Central Ministry Food Processing,1
mohfw_india,Central Ministry Health,1
MHI_GoI,Central Ministry Heavy Industries and Public Enterprises,1
MoHUA_India,Central Ministry Housing and Urban Affairs ,1
mib_india,Central Ministry Information And Broadcasting,1
MoJSDoWRRDGR,Central Ministry Jal Shakti,1
labourministry,Central Ministry Labour,1
MinesMinIndia,Central Ministry Mines,1
minmsme,Central Ministry MSME,1
mnreindia,Central Ministry New and Renewable Energy,1
mopr_goi,Central Ministry Panchayati Raj,0
mpa_india,Central Ministry Parliamentary Affairs,1
PetroleumMin,Central Ministry Petroleum and Natural Gas,1
shipmin_india,Central Ministry Ports Shipping And Waterways,1
minofpower,Central Ministry Power,1
railminindia,Central Ministry Railways,1
MORTHIndia,Central Ministry Road Transport and Highways,1
MoRD_GOI,Central Ministry Rural Development,1
MSDESkillIndia,Central Ministry Skill Development and Entrepreneurship,1
GoIStats,Central Ministry Statistics and Programme Implementation,1
SteelMinIndia,Central Ministry Steel,1
tourismgoi,Central Ministry Tourism,1
TribalAffairsIn,Central Ministry Tribal Affairs,1
MinistryWCD ,Central Ministry Women and Child Development,1
YASMinistry,Central Ministry Youth Affairs and Sports,0
rashtrapatibhvn,Central President,1
PMOIndia,Central Prime Minister,1
MEAIndia,Central Spokesperson Ministry of External Affairs,1
PIBHomeAffairs,Central Spokesperson Ministry of Home Affairs,1
pib_law,Central Spokesperson Ministry of Law & Justice,1
ChhattisgarhCMO,Chattisgarh Chief Minister ,1
GovernorCG,Chattisgarh Governor ,1
CMODelhi,Delhi Chief Minister ,1
DDC_Delhi,Delhi Dialogue & Development Commission  ,1
Minister_Edu,Delhi Education Minister ,1
LtGovDelhi,Delhi Lieutenant Governor,1
goacm,Goa Chief Minister ,1
CMOGuj,Gujarat Chief Minister ,1
cmohry,Haryana Chief Minister ,1
RajBhavanHry,Haryana Governor ,1
CMOFFICEHP,Himachal Pradesh Chief Minister ,1
JharkhandCMO,Jharkhand Chief Minister ,1
prdjharkhand,Jharkhand Public Relations ,1
CmofKarnataka,Karnataka Chief Minister ,1
DHFWKA,Karnataka Health Department ,1
CMOKerala,Kerala Chief Minister ,1
KeralaTourism,Kerala Department Tourism ,1
iprdkerala,Kerala Government,1
KeralaGovernor,Kerala Governor ,1
CMMadhyaPradesh,Madhya Pradesh Chief Minister ,1
highereduminmp,Madhya Pradesh Department Higher Education,1
JansamparkMP,Madhya Pradesh Department Public Relations ,1
schooledump,Madhya Pradesh Department School ,1
healthminmp,Madhya Pradesh Directorate Health Services ,1
GovernorMP,Madhya Pradesh Governor ,1
mohdept,Madhya Pradesh Home Department ,1
CMOMaharashtra,Maharashtra Chief Minister ,1
maha_governor,Maharashtra Governor ,1
CMO_Meghalaya,Meghalaya Chief Minister ,1
CMOMizoram,Mizoram Chief Minister ,1
CmoNagaland,Nagaland Chief Minister ,1
CMO_Odisha,Odisha Chief Minister ,1
SecyChief,Odisha Chief Secretary ,1
CTOdisha,Odisha Commerce & Transport ,1
EnergyOdisha,Odisha Energy ,1
Food_Odisha,Odisha Food ,1
GovernorOdisha,Odisha Governor ,1
HFWOdisha,Odisha Health and Family Welfare ,1
homeodisha,Odisha Home Department ,1
IPR_Odisha,Odisha I & PR Department ,1
CMOPb,Punjab Chief Minister ,1
PunjabGovtIndia,Punjab Government ,1
RajCMO,Rajasthan Chief Minister ,1
RajGovOfficial,Rajasthan Government ,1
RajBhavanJaipur,Rajasthan Governor ,1
sikkimgovt,Sikkim Government,1
CMOTamilnadu,Tamil Nadu Chief Minister ,1
TelanganaCMO,Telangana Chief Minister ,1
MinisterKTR,"Telangana Minister IT, Industries ",1
tripura_cmo,Tripura Chief Minister ,1
CMOfficeUP,Uttar Pradesh Chief Minister ,1
ChiefSecyUP,Uttar Pradesh Chief Secretary ,1
UPGovt,Uttar Pradesh Government ,1
